norm,Synsets,domain_x,ngrams_last_mean,nrdirhypers_x,nrhypos_x,nrpartrels_normalised_x,depthfromtopsynset_normalised_x,glosslength_normalised_x,minwordlength_x,nroflemmas_x,polyscore_max_x,vote_x,kbnc_1m_sum,childes_1m_rel_sum,childes_2_4m_rel_sum,childes_5_7m_rel_sum,bnc_1m_sum,bnc_5_7m_sum,bnc_2_4m_sum,bnc_100m_sum,cabnc_per_100k_2_4m,cabnc_per_100k_1m
newtown_wonder,Synset('newtown_wonder.n.01'),fruit,-23.02585093,1,0,0.0,1.1264294790343077,0.4916277572049589,14,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
northern_spy,Synset('northern_spy.n.01'),fruit,-17.6075865,1,0,0.0,1.1264294790343077,0.9991144743197552,12,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
orange,Synset('orange.n.01'),fruit,-11.17204191,1,6,2.6802721088435373,1.0012706480304956,0.9356786346804058,6,1,6,b,205,0.00178,0.0017833333333333334,0.0017789473684210527,120,660,295,11470,720,275
papaya,Synset('papaya.n.02'),fruit,-14.72466341,1,0,1.3401360544217686,0.8761118170266836,0.903960714860731,6,1,2,b,0,0.0,0.0,7.017543859649123e-07,0,2,0,41,0,0
passion_fruit,Synset('passion_fruit.n.01'),fruit,-16.67111037,1,3,1.3401360544217686,0.8761118170266836,1.6493318306230882,13,1,1,b,0,0.0,0.0,0.0,0,0,0,0,0,0
peach,Synset('peach.n.03'),fruit,-12.82199124,2,0,1.3401360544217686,0.8761118170266836,0.8722427950410562,5,1,5,b,342,0.000721,0.000735,0.0007235087719298245,244,1377,579,24114,859,391
pear,Synset('pear.n.01'),fruit,-12.93271289,2,4,1.3401360544217686,0.8761118170266836,0.9673965545000806,4,1,2,b,14,0.000112,8.75e-05,9.473684210526316e-05,6,22,10,398,10,2
pearmain,Synset('pearmain.n.01'),fruit,-17.2614738,1,0,0.0,1.1264294790343077,0.7770890355820319,8,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
persian_melon,Synset('persian_melon.n.02'),fruit,-20.96839581,1,0,0.0,1.2515883100381195,1.3004347126066655,13,1,2,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
pineapple,Synset('pineapple.n.02'),fruit,-14.51359397,1,0,1.3401360544217686,0.8761118170266836,1.4114474319755272,6,2,2,b,0,5.6e-05,6.833333333333333e-05,6.070175438596491e-05,6,23,10,503,60,22
pippin,Synset('pippin.n.01'),fruit,-14.49625916,1,1,0.0,1.1264294790343077,1.443165351795202,6,1,1,nb,0,0.0,0.0,0.0,0,0,0,0,0,0
pitahaya,Synset('pitahaya.n.02'),fruit,-19.01997598,1,0,1.3401360544217686,0.8761118170266836,1.5383191112542265,8,1,2,b,0,0.0,0.0,0.0,0,0,0,0,0,0
plum,Synset('plum.n.02'),fruit,-13.02129455,2,5,1.3401360544217686,0.8761118170266836,1.7127676702624377,4,1,5,b,170,0.000264,0.00024625,0.00023175438596491227,56,429,187,7077,300,110
pomegranate,Synset('pomegranate.n.02'),fruit,-14.17578889,1,0,1.3401360544217686,0.8761118170266836,1.3797295121558526,11,1,2,b,0,0.0,0.0,0.0,2,4,2,54,0,0
