index,CHILDES_Count
cloth,77
smellytape,2
spitting,7
thaw,3
realized,16
inviting,3
visit,38
hattie,12
stepping,14
incredible,4
beetles,6
smack,88
nest,78
panda's,74
snakes,55
line,234
conor,112
stairs,155
pooed,8
at_least,28
percy,238
begins,31
sleepyhead,12
slept,28
trees,134
ben,56
elephant's,49
david,169
trowel,1
wolf,58
centurian,1
patter,7
↑uh,8
nicely,122
skirt,33
hidden,35
person,87
somebody's,91
prodding,18
linda,40
seventy,14
penguin's,25
butterfly,119
vet,33
toes,242
medicine,132
ca,8
creams,8
drinking,121
child,116
shy,24
further,40
spill,91
duplo,137
ga,10
passenger,11
°thas,2
possibly,13
barking,32
rip,73
dig,53
lasted,11
bertand,3
tear,51
climbed,66
bless,98
sail,10
grandma,216
turtle,130
freedom,4
spoil,24
song,248
matthew,32
belong,73
biscuits,197
backwards,116
pepsi_max,1
°but,4
night_night,170
milkshake,9
tipping,7
shapes,85
bored,37
rosie's,25
cheaper,6
flower,176
noisy,129
gently,217
orangey,10
beating,21
younger,15
h,89
sideboard,19
tugboat,4
animal,227
sorted,39
chained,1
splash,94
hammer,161
mister,100
stroke,37
thunder,32
wrong_trousers,3
catching,20
teddy's,58
convert,2
earth,21
shape's,20
given,56
nenaw,27
club,20
number,340
chasing,43
pliers,43
liz's,14
toddle,11
noses,21
fact,55
pants,166
cornwall,9
alphabets,11
spotty,22
winnie_ther_poohh,5
cathy's,55
peaches,16
knees,73
rubbing,26
february,27
hotdog,63
pingu's,66
doctors,37
twenty,167
plum,48
raptors,8
blocks,110
rash,15
ellie,22
wiggle,47
rosa,12
texaco,4
rod,22
nappie,178
boondy,1
dirt,73
boy_scouts,3
teddybears,23
∆°hhh,3
crashed,102
cherrys,15
value,5
past,177
brocolli,2
balls,142
hannah,91
spot,150
barn,91
save,59
crumbs,16
satisfied,3
used,51
marbles,40
cello,2
it'll,348
cross,211
edge,70
penny,78
guess,237
n↓ow,1
happle,5
lift,230
oil,19
creche,15
richard,46
armbands,20
fields,26
indian,49
soft,87
pleased,55
chatter,13
twister,1
doodoodooduh,1
rosy,10
heavily,2
lights,116
picking,97
trapper,1
plastic,49
poo,169
cats,153
reading,158
disappeared,32
balances,1
fighting,56
rocked,4
polly_pocket,23
in,2
load,32
dustbin,33
octopus,25
shirt's,8
circus,104
parked,28
upside,120
delicious,77
towel,91
mitchell,7
snow_queen,3
nicole's,42
digging,31
holded,3
tempered,9
clown,126
lie,292
mankeeper,3
↑ella,9
ship,56
number's,32
gas,55
angel,37
pack,48
wide,39
crayon,111
mammy's,46
nursing,3
lipstick,53
fireengine,109
survey,2
pottie,147
prickly,18
spanking,37
dinosaur,158
catch,343
whoosh,27
realistic,4
banana,291
aeroplane,159
die,30
buying,74
neddy_horse,1
fed,99
seatbelt,5
toast,286
ripens,1
stopping,28
sue,116
kipper's,29
splinter,11
wings,59
tent,57
mouthed,2
hospital,172
anyway,300
firestation,15
cough,92
mister_fox,19
stain,3
wood,104
↑dirty,1
tight,131
kettle,38
security,4
photo,40
mane,6
siting,5
how_about,23
piano,63
yahoo,14
tuner,3
smash,13
benjamin,9
sucking,25
belly,51
starting,53
sign,54
razor,12
sylvia,86
rocky,10
wireless,1
ago,124
°blowing,2
morag,52
chalks,17
castle,139
feed,168
rusk,10
settee,86
ninety,56
seems,67
girl's,96
ahdeeh,2
0would,9
kite,130
bumps,8
peep^peep,69
↓bird,2
madam,46
cover,166
weeks,125
job,87
sieve,19
treasure,28
stripes,28
danny,20
a_lot_of,196
josh,12
pineapple,82
moo's,1
curtain,27
none,72
poppy,27
wipe,262
comb,98
o'clock,246
vitamin,12
spaghetti,106
thankyou,8
steal,23
drunk,23
agh,47
itchy,29
orphan_annie,6
fortnight,13
chickens,77
quiet,163
drawings,9
ruler,6
barbie,55
na,8
measuring,10
son,33
shh,78
brum^brum,69
rescue,45
idea,277
tha,3
offer,26
smile,118
gobble,43
knocking,61
lucy_lamplady,12
bookie,11
tree's,6
dandelion,4
potatoes,46
jo_ann,21
turned,89
pushed,51
beep,200
i_mean,196
ladybird,92
sulk,12
patty_cake,4
died,38
brush,211
covered,43
the_snow_storm,2
vernon,1
coaches,64
that'd,25
promise,30
vicky,2
pay,94
parcel,32
clinic,3
hotel,31
tooth,31
ronnie,1
paddock,4
brick,263
froggie's,11
dangling,3
∇have,2
opener,10
pillow,84
jenny,24
squealing,6
0what,16
telephone,117
learning,15
absolutely,42
gotta,227
jinxing,2
rips,2
chris's,9
sweeping,83
steady,127
rings,66
star,147
judy,49
oven,75
unloaded,4
mr_clumsy,5
doughnuts,19
grubs,1
its,255
pushing,106
yawning,7
slow,52
voice,29
wrote,26
wakes,23
cope,17
puts,63
welcome,61
oughta,51
opera,10
hope,170
holiday,194
taught,31
everyday,16
rustle,2
earrings,24
everyone,56
type,37
camel,59
stocking,30
pow,20
mickey_mouse,30
tyrannosaur's,1
stars,47
punched,6
luck,16
measy,1
believe,63
pumpy,5
bozo,89
cheeseburger,5
string,104
gracious,16
∙hhh°,2
t,80
sambo,6
secret,30
nar,1
diane,10
more_dadaw's,10
bathroom,72
monkey's,44
cruella_deville,3
destroy,8
duvet,40
burp,25
favourite,6
jim,109
barbara,97
flies,30
sword,42
harder,39
stuart,55
working,163
bulldozer's,3
stays,36
benefit,2
exhausted,7
0give,1
lifting,28
tippy,7
bound,4
telling,138
worm,64
van,186
godzilla,1
sweetcorn,69
attic,32
xxx°,20
jill,68
humpty_dumpty,75
tunnels,11
wrecked,10
stretch,34
recorder,91
pussy,99
dusty,22
makings,2
clue,17
rides,22
fishing,51
washing,211
police,84
d'you,92
peepo,15
toptie,13
directions,12
worry,118
squeeze,85
nextdoor's,1
gail's,64
fam,11
check,76
oh_goodness,46
mommy's,80
blether,1
burr,1
press,246
inconsistent,1
fifty,74
tomatoes,17
scohotentot,1
mamamamamamama,3
sainsburys,11
gate,204
peter_rabbit,27
king's_square,2
/?,16
bikes,31
xxxx,271
curls,19
pond,97
send,107
pins,10
jackson_browne,9
kneeling,105
necklaces,2
ears,250
