norm,KBNC_1m_Count
convincing,8
torture,6
rattled,24
sad,61
trusty,11
englishman,2
learning,37
faces,81
sentinels,1
bus-station,3
mark,57
playground,36
values,26
wooden,111
attendant,2
diminished,2
trusted,13
centimetres,17
carpeted,7
momentum,2
instantly,20
satisfied,20
sneaking,8
dangerous,90
wasted,18
gate,188
diagram,29
shoulders,109
certainly,90
sweep,7
faint,47
fairly,33
understandable,5
adolf,9
belly,11
rub,10
lachlan,224
wealthy,3
jubilee,26
taken,216
cross,73
couple,81
tug,161
solemn,10
remained,36
odhar,71
locked,75
four,200
memory,46
pewter,1
steel,14
adorned,7
teacher,126
thanks,78
river,67
practice,28
apologies,5
days,248
decided,167
sight,147
apples,36
instruments,7
machine,59
ladies,52
expression,67
colour,84
collar,60
fantasies,4
earth,195
pretending,33
unresolved,2
hurtful,5
imogen,2
peter,38
frogs,57
cluedopolybats,1
covent,1
included,9
support,39
bunk,2
week-end,2
poking,16
jason,55
ears,117
stink,11
bad,218
s,34
brute,14
cloaks,5
stumping,1
shaken,15
tail,52
carl,36
crowd,80
gradually,24
bottom,140
decadent,3
mary,134
taught,46
guider,47
hairy,14
although,189
disappeared,99
fraction,56
imp,3
fast,143
intersection,4
polish,11
haunting,3
wee,27
caspar,129
husband,102
hatch,19
sword,23
fluffy,5
prisoner,21
eye,154
gabriel,128
skating,4
whipped,4
bless,20
bye,5
sighted,2
mummy,77
smoke,84
craig,3
rabbit,46
claws,12
hardness,3
duck,35
loud,86
recorder,1
bikes,5
lie,75
box,160
felicity,53
returning,24
assembly,22
stag,2
christmas,184
cannonball,2
accidents,9
stupefying,1
prepared,43
marie,372
guinness,6
mosaic,2
daily,15
joy,69
lettuce,18
ridden,7
late,150
passage,48
admit,47
salute,5
hers,51
rigid,25
werner,24
minutes,174
zadak,60
bed,348
10,63
sooner,22
rush,25
accepted,24
shorthand,5
marks,30
t',23
deirdre,27
horrid,9
mistletoe,17
placing,13
land,104
probably,185
amputation,3
dressed,47
tunnel,51
broomstick,34
muttered,83
disagree,3
squirrel,18
fragment,3
jess,316
contented,10
priest,4
8in,1
brownie,220
turtles,4
mare,31
pearlized,1
mini,58
wondering,69
